SCHOOL_YEAR,DISTRICT_NUMBER,FSA_SKILL_CODE,GRADE,PERCENT_UNKNOWN,PERCENT_BELOW,PERCENT_MEETING,PERCENT_EXCEEDING,PERCENT_MEET_OR_EXCEED,SCORE_TYPE,SCORE,PARTICIPATION_RATE
2014/2015,067,N,7,10,37,51,1,53,IRT,428.7868,90
2007/2008,068,N,7,13,25,55,6,62,IRT,461.714,87
2008/2009,068,N,7,26,25,46,4,50,IRT,452.7259,74
2009/2010,068,N,7,20,29,48,3,51,IRT,444.5506,80
2010/2011,068,N,7,15,29,51,4,56,IRT,453.3174,85
2011/2012,068,N,7,15,33,49,3,52,IRT,440.878,85
2012/2013,068,N,7,10,33,52,5,56,IRT,447.0885,90
2013/2014,068,N,7,11,33,51,5,56,IRT,448.5231,89
2014/2015,068,N,7,29,29,39,3,42,IRT,439.9106,71
2007/2008,069,N,7,10,23,64,3,67,IRT,469.2861,90
2008/2009,069,N,7,15,26,54,5,59,IRT,460.7197,85
2009/2010,069,N,7,22,29,46,3,49,IRT,443.721,78
2010/2011,069,N,7,15,26,56,4,60,IRT,454.5367,85
2011/2012,069,N,7,18,36,43,4,47,IRT,435.3164,82
2012/2013,069,N,7,10,29,56,5,61,IRT,449.5269,90
2013/2014,069,N,7,6,31,57,5,62,IRT,452.964,94
2014/2015,069,N,7,13,34,50,4,53,IRT,446.7848,87
2007/2008,070,N,7,8,39,49,4,53,IRT,433.7298,92
2008/2009,070,N,7,8,38,52,2,54,IRT,436.7695,92
2009/2010,070,N,7,10,40,47,3,51,IRT,430.9901,90
2010/2011,070,N,7,9,32,58,1,59,IRT,436.3386,91
2011/2012,070,N,7,5,38,56,1,57,IRT,431.7837,95
2012/2013,070,N,7,7,40,52,1,53,IRT,426.5628,93
2013/2014,070,N,7,10,54,34,1,35,IRT,398.6667,90
2014/2015,070,N,7,8,52,39,1,40,IRT,408.2324,92
2007/2008,071,N,7,11,26,60,4,63,IRT,455.1097,89
2008/2009,071,N,7,21,25,50,4,54,IRT,458.719,79
2009/2010,071,N,7,20,23,54,4,57,IRT,460.166,80
2010/2011,071,N,7,24,26,47,2,50,IRT,449.7846,76
2011/2012,071,N,7,19,31,47,3,51,IRT,439.6528,81
2012/2013,071,N,7,9,37,51,3,54,IRT,438.8253,91
2013/2014,071,N,7,16,29,51,4,56,IRT,450.9332,84
2014/2015,071,N,7,16,30,50,5,55,IRT,455.8273,84
2007/2008,072,N,7,23,25,47,4,51,IRT,449.4407,77
2008/2009,072,N,7,15,26,56,3,59,IRT,453.0073,85
2009/2010,072,N,7,39,21,38,2,40,IRT,439.0078,61
2010/2011,072,N,7,29,28,41,2,43,IRT,445.0748,71
2011/2012,072,N,7,40,34,24,2,26,IRT,412.1184,60
2012/2013,072,N,7,48,27,24,1,25,IRT,413.3911,52
2013/2014,072,N,7,27,29,43,1,44,IRT,430.9597,73
2014/2015,072,N,7,43,30,25,2,27,IRT,293.0046,57
2007/2008,073,N,7,5,21,62,12,74,IRT,492.367,95
2008/2009,073,N,7,8,28,54,10,64,IRT,470.9401,92
2009/2010,073,N,7,7,26,60,7,67,IRT,469.7179,93
2010/2011,073,N,7,5,29,59,7,66,IRT,468.5642,95
2011/2012,073,N,7,8,27,59,6,65,IRT,464.8984,92
2012/2013,073,N,7,6,26,63,6,69,IRT,471.0231,94
2013/2014,073,N,7,4,26,63,7,70,IRT,467.2723,96
2014/2015,073,N,7,6,25,63,7,69,IRT,471.8792,94
2007/2008,074,N,7,4,39,50,7,57,IRT,441.5,96
2008/2009,074,N,7,4,39,52,4,56,IRT,438.1215,96
2009/2010,074,N,7,6,38,50,6,56,IRT,438.9483,94
2010/2011,074,N,7,5,41,50,4,54,IRT,432.4731,95
2011/2012,074,N,7,8,42,45,5,51,IRT,439.7442,92
2012/2013,074,N,7,9,41,45,5,50,IRT,432.0267,91
2013/2014,074,N,7,12,38,49,1,50,IRT,421.7826,88
2014/2015,074,N,7,3,51,43,2,45,IRT,420.1647,97
2007/2008,075,N,7,10,21,60,9,69,IRT,486.3289,90
2008/2009,075,N,7,18,25,52,5,57,IRT,467.8171,82
2009/2010,075,N,7,17,24,54,5,59,IRT,467.1436,83
2010/2011,075,N,7,17,31,49,3,52,IRT,442.868,83
2011/2012,075,N,7,22,34,42,2,44,IRT,425.5399,78
2012/2013,075,N,7,20,33,43,3,46,IRT,438.3808,80
2013/2014,075,N,7,15,32,49,4,53,IRT,443.2527,85
2014/2015,075,N,7,14,35,49,2,52,IRT,431.244,86
2007/2008,078,N,7,7,30,58,5,63,IRT,454.4733,93
2008/2009,078,N,7,25,39,34,2,36,IRT,409.5323,75
2009/2010,078,N,7,32,35,32,1,34,IRT,423.3656,68
2010/2011,078,N,7,31,33,36,0,36,IRT,427.6441,69
2011/2012,078,N,7,38,50,12,0,12,IRT,288.8409,62
2012/2013,078,N,7,44,26,30,0,30,IRT,430.0968,56
2013/2014,078,N,7,55,25,20,0,20,IRT,413.1053,45
2014/2015,078,N,7,48,30,22,1,23,IRT,405.75,52
2007/2008,079,N,7,9,37,52,3,55,IRT,435.0667,91
2008/2009,079,N,7,14,34,48,4,52,IRT,442.6804,86
2009/2010,079,N,7,18,33,46,2,48,IRT,435.8043,82
2010/2011,079,N,7,21,34,42,3,45,IRT,428.8868,79
2011/2012,079,N,7,24,36,38,2,40,IRT,421.4342,76
2012/2013,079,N,7,23,34,41,3,44,IRT,428.4749,77
2013/2014,079,N,7,27,31,40,2,42,IRT,427.213,73
2014/2015,079,N,7,35,27,36,2,38,IRT,433.4817,65
2007/2008,081,N,7,8,35,52,5,57,IRT,452.1127,92
2008/2009,081,N,7,11,27,53,9,63,IRT,471.6567,89
2009/2010,081,N,7,13,8,72,8,79,IRT,499.4706,87
2010/2011,081,N,7,8,6,71,15,86,IRT,520.95,92
2011/2012,081,N,7,4,16,76,3,79,IRT,478.2154,96
2012/2013,081,N,7,6,3,77,14,91,IRT,532.3,94
2013/2014,081,N,7,7,3,86,3,90,IRT,505.2545,93
2014/2015,081,N,7,10,23,63,4,67,IRT,464.1489,90
2007/2008,082,N,7,4,34,57,5,61,IRT,445.7884,96
2008/2009,082,N,7,14,37,45,3,48,IRT,433.9062,86
2009/2010,082,N,7,16,36,46,2,48,IRT,433.7264,84
2010/2011,082,N,7,21,37,39,3,42,IRT,430.6442,79
2011/2012,082,N,7,23,43,34,1,35,IRT,405.3865,77
2012/2013,082,N,7,27,37,35,1,36,IRT,412.4242,73
2013/2014,082,N,7,19,48,31,1,32,IRT,398.3956,81
2014/2015,082,N,7,22,53,25,0,25,IRT,388.6466,78
2007/2008,083,N,7,7,31,57,4,61,IRT,453.5266,93
2008/2009,083,N,7,10,31,54,5,59,IRT,451.8505,90
2009/2010,083,N,7,10,31,56,3,59,IRT,445.9199,90
2010/2011,083,N,7,11,35,52,2,55,IRT,436.7722,89
2011/2012,083,N,7,10,39,47,4,51,IRT,425.7028,90
2012/2013,083,N,7,16,37,45,2,47,IRT,417.4888,84
2013/2014,083,N,7,14,41,43,2,45,IRT,416.6341,86
2014/2015,083,N,7,14,39,45,2,47,IRT,420.3079,86
2007/2008,084,N,7,5,68,27,0,27,IRT,382.9429,95
2008/2009,084,N,7,4,56,37,4,41,IRT,387.1154,96
2009/2010,084,N,7,9,55,36,0,36,IRT,401.8,91
2010/2011,084,N,7,10,54,33,3,36,IRT,403.3143,90
2011/2012,084,N,7,8,64,28,0,28,IRT,372.0435,92
2012/2013,084,N,7,18,47,29,6,35,IRT,417.25,82
2013/2014,084,N,7,12,53,32,3,35,IRT,409.8333,88
2014/2015,084,N,7,21,55,24,0,24,IRT,378.4348,79
2007/2008,085,N,7,4,27,65,4,69,IRT,452.534,96
2008/2009,085,N,7,9,35,54,2,56,IRT,446.6525,91
2009/2010,085,N,7,14,49,35,2,37,IRT,409.8632,86
2010/2011,085,N,7,23,35,40,2,42,IRT,437.5062,77
2011/2012,085,N,7,25,36,33,6,39,IRT,424.6875,75
2012/2013,085,N,7,9,38,51,2,53,IRT,435.191,91
2013/2014,085,N,7,6,48,43,3,46,IRT,422.6146,94
2014/2015,085,N,7,6,39,52,3,55,IRT,438.6809,94
2007/2008,091,N,7,18,33,44,5,49,IRT,440.8978,82
2008/2009,091,N,7,15,31,47,6,54,IRT,457.1779,85
2009/2010,091,N,7,27,26,43,3,47,IRT,447.8464,73
2010/2011,091,N,7,26,31,39,4,43,IRT,440.9,74
2011/2012,091,N,7,36,28,32,3,35,IRT,433.9652,64
2012/2013,091,N,7,33,34,32,1,33,IRT,417.2788,67
2013/2014,091,N,7,34,34,30,3,32,IRT,415.3189,66
2014/2015,091,N,7,39,30,28,2,31,IRT,421.8895,61
2007/2008,092,N,7,0,79,21,0,21,IRT,369.4545,100
2008/2009,092,N,7,17,70,13,0,13,IRT,366.72,83
2009/2010,092,N,7,10,73,17,0,17,IRT,353.2593,90
2010/2011,092,N,7,17,79,4,0,4,IRT,346.3,83
2011/2012,092,N,7,5,75,20,0,20,IRT,356.9474,95
2012/2013,092,N,7,13,72,16,0,16,IRT,371.1071,88
2013/2014,092,N,7,14,59,27,0,27,IRT,398.1579,86
2014/2015,092,N,7,22,62,16,0,16,IRT,345.2759,78
2007/2008,093,N,7,0,21,69,10,79,IRT,488.1661,100
2008/2009,093,N,7,12,16,59,13,73,IRT,497.875,88
2009/2010,093,N,7,13,19,60,8,68,IRT,484.625,87
2010/2011,093,N,7,9,23,58,9,68,IRT,469.1908,91
2011/2012,093,N,7,15,11,60,14,74,IRT,513.669,85
2012/2013,093,N,7,18,11,59,12,70,IRT,516.9526,82
2013/2014,093,N,7,14,11,63,12,75,IRT,505.1121,86
2014/2015,093,N,7,24,12,51,14,64,IRT,508.7138,76
2007/2008,Prov,R,4,10,18,62,10,73,IRT,482.7327,90
2008/2009,Prov,R,4,16,16,57,10,67,IRT,486.9645,84
2009/2010,Prov,R,4,17,18,55,10,65,IRT,482.5778,83
2010/2011,Prov,R,4,16,17,57,10,67,IRT,483.1319,84
2011/2012,Prov,R,4,15,17,59,9,68,IRT,482.6165,85
2012/2013,Prov,R,4,15,16,58,12,70,IRT,490.6831,85
2013/2014,Prov,R,4,16,17,57,11,68,IRT,486.2126,84
2014/2015,Prov,R,4,20,16,55,10,64,IRT,485.0414,80
2007/2008,005,R,4,14,24,57,6,62,IRT,459.0228,86
2008/2009,005,R,4,12,21,58,8,66,IRT,473.1662,88
2009/2010,005,R,4,17,19,56,8,65,IRT,482.3841,83
2010/2011,005,R,4,19,15,57,9,66,IRT,487.1639,81
2011/2012,005,R,4,3,16,68,13,81,IRT,496.9634,97
2012/2013,005,R,4,11,15,62,11,73,IRT,486.3084,89
2013/2014,005,R,4,9,19,63,9,72,IRT,485.5629,91
2014/2015,005,R,4,21,13,59,7,66,IRT,478.3607,79
2007/2008,006,R,4,7,20,63,11,73,IRT,481.0179,93
2008/2009,006,R,4,10,21,58,10,68,IRT,473.932,90
2009/2010,006,R,4,9,23,59,9,68,IRT,480.8325,91
2010/2011,006,R,4,8,20,62,10,72,IRT,480.4536,92
2011/2012,006,R,4,10,16,65,9,74,IRT,486.8806,90
2012/2013,006,R,4,6,17,64,13,77,IRT,490.4227,94
2013/2014,006,R,4,3,15,72,10,82,IRT,482.943,97
2014/2015,006,R,4,3,10,75,12,87,IRT,503.1964,97
2007/2008,008,R,4,16,14,55,16,71,IRT,500.6599,84
2008/2009,008,R,4,25,19,46,10,56,IRT,471.626,75
2009/2010,008,R,4,20,14,54,12,66,IRT,497.3357,80
2010/2011,008,R,4,25,15,49,12,61,IRT,493.3099,75
2011/2012,008,R,4,33,16,45,6,51,IRT,474.3945,67
2012/2013,008,R,4,21,15,51,13,64,IRT,485.3383,79
2013/2014,008,R,4,20,16,48,17,64,IRT,494.1164,80
2014/2015,008,R,4,21,26,47,7,53,IRT,448.4792,79
2007/2008,010,R,4,9,15,60,17,77,IRT,484.6047,91
2008/2009,010,R,4,6,8,78,8,86,IRT,498.7826,94
2009/2010,010,R,4,5,22,57,16,73,IRT,491.4571,95
2010/2011,010,R,4,5,5,68,22,89,IRT,521.8571,95
2011/2012,010,R,4,40,29,26,6,31,IRT,436.7143,60
2012/2013,010,R,4,8,6,67,19,86,IRT,526.3939,92
2013/2014,010,R,4,23,23,41,13,54,IRT,476.9667,77
2014/2015,010,R,4,21,14,55,10,66,IRT,496.6522,79
2007/2008,019,R,4,5,4,72,20,91,IRT,523.5641,95
2008/2009,019,R,4,10,1,65,24,89,IRT,545.5385,90
2009/2010,019,R,4,12,7,63,18,81,IRT,539.4844,88
2010/2011,019,R,4,7,5,65,22,88,IRT,538.3867,93
2011/2012,019,R,4,3,13,78,6,84,IRT,485.9032,97
2012/2013,019,R,4,8,13,56,23,79,IRT,509.6,92
2013/2014,019,R,4,10,10,66,14,79,IRT,506.25,90
2014/2015,019,R,4,22,13,46,18,64,IRT,517.1525,78
2007/2008,020,R,4,6,18,66,10,76,IRT,486.6113,94
2008/2009,020,R,4,13,17,61,10,70,IRT,483.6322,87
2009/2010,020,R,4,17,14,62,7,69,IRT,485.2489,83
2010/2011,020,R,4,16,10,61,12,74,IRT,498.5417,84
2011/2012,020,R,4,18,11,60,11,71,IRT,492.3927,82
2012/2013,020,R,4,20,12,59,9,69,IRT,492.5327,80
2013/2014,020,R,4,27,17,49,7,56,IRT,469.8977,73
2014/2015,020,R,4,36,10,47,7,54,IRT,490.3103,64
2007/2008,022,R,4,6,22,62,10,72,IRT,473.4772,94
2008/2009,022,R,4,19,17,54,9,63,IRT,483.7265,81
2009/2010,022,R,4,10,19,62,9,71,IRT,477.8732,90
2010/2011,022,R,4,14,20,58,8,66,IRT,475.7354,86
2011/2012,022,R,4,12,20,60,8,68,IRT,474.2994,88
2012/2013,022,R,4,13,16,60,12,72,IRT,492.9923,87
2013/2014,022,R,4,10,18,61,11,72,IRT,487.325,90
2014/2015,022,R,4,11,20,59,9,68,IRT,479.7659,89
2007/2008,023,R,4,4,13,69,14,83,IRT,502.1107,96
2008/2009,023,R,4,7,11,68,14,82,IRT,506.2347,93
2009/2010,023,R,4,12,11,65,12,77,IRT,504.0302,88
2010/2011,023,R,4,9,14,65,11,76,IRT,497.08,91
2011/2012,023,R,4,14,12,63,10,73,IRT,494.3634,86
2012/2013,023,R,4,13,14,60,13,73,IRT,500.0337,87
2013/2014,023,R,4,12,13,63,12,75,IRT,497.463,88
2014/2015,023,R,4,21,10,57,12,69,IRT,504.4744,79
2007/2008,027,R,4,6,29,59,5,65,IRT,445.1385,94
2008/2009,027,R,4,11,26,55,7,63,IRT,462.0196,89
2009/2010,027,R,4,7,26,59,7,66,IRT,461.0201,93
2010/2011,027,R,4,10,22,60,8,68,IRT,467.8584,90
2011/2012,027,R,4,6,26,61,6,68,IRT,463.1844,94
2012/2013,027,R,4,5,22,62,10,72,IRT,475.3851,95
2013/2014,027,R,4,9,28,56,7,63,IRT,454.0398,91
2014/2015,027,R,4,6,25,61,8,68,IRT,461.6416,94
2007/2008,028,R,4,11,23,60,6,66,IRT,449.5592,89
2008/2009,028,R,4,20,27,50,3,53,IRT,439.859,80
2009/2010,028,R,4,26,21,46,6,52,IRT,457.0552,74
2010/2011,028,R,4,27,31,39,3,42,IRT,417.5,73
2011/2012,028,R,4,24,20,53,3,56,IRT,461.9653,76
2012/2013,028,R,4,33,18,41,7,48,IRT,458.1752,67
2013/2014,028,R,4,31,26,39,3,43,IRT,428.0637,69
2014/2015,028,R,4,29,24,42,5,47,IRT,446.027,71
2007/2008,033,R,4,7,12,66,15,81,IRT,505.1523,93
2008/2009,033,R,4,22,12,56,10,65,IRT,489.1199,78
2009/2010,033,R,4,15,16,58,10,69,IRT,492.6017,85
2010/2011,033,R,4,11,14,62,13,75,IRT,501.1965,89
2011/2012,033,R,4,7,13,68,12,79,IRT,500.5084,93
2012/2013,033,R,4,6,16,67,12,79,IRT,494.9156,94
2013/2014,033,R,4,7,14,68,11,79,IRT,494.7844,93
2014/2015,033,R,4,14,14,58,14,72,IRT,501.5305,86
2007/2008,034,R,4,4,14,67,15,82,IRT,501.8456,96
2008/2009,034,R,4,7,14,65,15,79,IRT,500.959,93
2009/2010,034,R,4,8,15,61,16,77,IRT,504.5575,92
2010/2011,034,R,4,4,14,68,13,81,IRT,498.8209,96
2011/2012,034,R,4,5,13,70,12,81,IRT,497.0342,95
2012/2013,034,R,4,6,13,64,18,81,IRT,512.1684,94
2013/2014,034,R,4,5,15,66,14,80,IRT,501.2701,95
2014/2015,034,R,4,6,13,69,12,80,IRT,499.3843,94
2007/2008,035,R,4,2,19,67,11,78,IRT,481.6386,98
2008/2009,035,R,4,9,14,63,14,77,IRT,499.5465,91
2009/2010,035,R,4,13,14,61,12,74,IRT,495.1649,87
2010/2011,035,R,4,9,13,63,14,78,IRT,502.9611,91
2011/2012,035,R,4,8,12,68,12,80,IRT,498.1173,92
2012/2013,035,R,4,9,11,66,15,81,IRT,513.4288,91
2013/2014,035,R,4,11,12,63,14,77,IRT,505.217,89
2014/2015,035,R,4,12,13,61,14,75,IRT,501.3237,88
2007/2008,036,R,4,9,24,61,7,68,IRT,460.1532,91
2008/2009,036,R,4,13,21,59,8,66,IRT,469.1747,87
2009/2010,036,R,4,12,24,57,8,64,IRT,463.8263,88
2010/2011,036,R,4,10,25,59,7,66,IRT,461.2665,90
2011/2012,036,R,4,11,23,59,7,66,IRT,463.8894,89
2012/2013,036,R,4,11,20,59,10,69,IRT,474.783,89
2013/2014,036,R,4,13,22,57,8,65,IRT,467.8773,87
2014/2015,036,R,4,16,20,57,7,64,IRT,468.6376,84
2007/2008,037,R,4,10,17,63,11,74,IRT,488.2156,90
2008/2009,037,R,4,18,11,61,10,71,IRT,498.1888,82
2009/2010,037,R,4,22,14,55,9,64,IRT,486.1179,78
2010/2011,037,R,4,24,14,52,11,62,IRT,492.0587,76
2011/2012,037,R,4,13,17,62,9,70,IRT,484.4587,87
2012/2013,037,R,4,13,15,62,10,72,IRT,487.6214,87
2013/2014,037,R,4,17,13,61,9,70,IRT,491.0066,83
2014/2015,037,R,4,25,12,54,9,63,IRT,491.6071,75
2007/2008,038,R,4,12,13,63,12,75,IRT,497.1994,88
2008/2009,038,R,4,13,11,62,14,76,IRT,506.3528,87
2009/2010,038,R,4,18,11,60,12,72,IRT,503.5499,82
2010/2011,038,R,4,17,12,57,14,71,IRT,504.8133,83
2011/2012,038,R,4,17,11,61,11,72,IRT,502.0421,83
2012/2013,038,R,4,16,12,57,15,72,IRT,507.491,84
2013/2014,038,R,4,17,12,58,13,71,IRT,503.5909,83
2014/2015,038,R,4,26,10,53,11,65,IRT,506.8452,74
2007/2008,039,R,4,21,15,55,9,64,IRT,483.2827,79
2008/2009,039,R,4,32,11,46,11,57,IRT,501.6701,68
2009/2010,039,R,4,37,14,41,8,49,IRT,477.8982,63
2010/2011,039,R,4,33,13,46,8,54,IRT,484.6734,67
2011/2012,039,R,4,35,13,44,9,52,IRT,487.6122,65
2012/2013,039,R,4,31,12,48,10,57,IRT,493.7104,69
2013/2014,039,R,4,31,11,46,11,58,IRT,501.8451,69
2014/2015,039,R,4,35,9,46,10,56,IRT,501.5207,65
2007/2008,040,R,4,11,16,61,12,73,IRT,490.4201,89
2008/2009,040,R,4,14,19,58,9,67,IRT,473.1099,86
2009/2010,040,R,4,16,17,56,11,67,IRT,488.8738,84
2010/2011,040,R,4,17,16,59,8,67,IRT,484.5494,83
2011/2012,040,R,4,14,16,57,13,71,IRT,493.4058,86
2012/2013,040,R,4,16,14,55,15,70,IRT,501.212,84
2013/2014,040,R,4,17,18,53,12,65,IRT,485.3282,83
2014/2015,040,R,4,17,15,56,12,68,IRT,493.9246,83
2007/2008,041,R,4,18,17,55,10,65,IRT,477.2988,82
2008/2009,041,R,4,21,17,52,10,62,IRT,486.8299,79
2009/2010,041,R,4,19,17,56,8,64,IRT,478.8994,81
2010/2011,041,R,4,21,13,57,9,66,IRT,493.8005,79
2011/2012,041,R,4,17,15,58,10,68,IRT,487.4264,83
2012/2013,041,R,4,18,14,56,12,68,IRT,492.8629,82
2013/2014,041,R,4,20,12,55,14,69,IRT,504.6306,80
2014/2015,041,R,4,22,12,57,9,66,IRT,496.303,78
2007/2008,042,R,4,5,23,65,7,72,IRT,463.4938,95
2008/2009,042,R,4,37,14,44,5,49,IRT,470.9872,63
2009/2010,042,R,4,15,20,55,10,65,IRT,476.7944,85
2010/2011,042,R,4,24,19,51,6,58,IRT,463.9973,76
2011/2012,042,R,4,21,18,54,7,61,IRT,470.5521,79
2012/2013,042,R,4,36,12,44,8,52,IRT,486.3963,64
2013/2014,042,R,4,33,17,43,6,50,IRT,465.5338,67
2014/2015,042,R,4,56,11,29,4,33,IRT,471.6508,44
2007/2008,043,R,4,8,16,65,11,76,IRT,488.9479,92
2008/2009,043,R,4,26,11,52,11,63,IRT,498.8261,74
2009/2010,043,R,4,21,16,55,9,63,IRT,482.705,79
2010/2011,043,R,4,16,17,57,10,67,IRT,483.2919,84
2011/2012,043,R,4,18,14,60,9,69,IRT,486.6744,82
2012/2013,043,R,4,14,16,60,10,70,IRT,483.6523,86
2013/2014,043,R,4,14,17,58,10,68,IRT,483.1471,86
2014/2015,043,R,4,18,16,57,9,66,IRT,482.0831,82
2007/2008,044,R,4,15,11,60,14,74,IRT,505.3536,85
2008/2009,044,R,4,14,10,59,16,75,IRT,512.4269,86
2009/2010,044,R,4,17,12,55,16,70,IRT,508.6934,83
2010/2011,044,R,4,13,12,61,14,75,IRT,502.2531,87
2011/2012,044,R,4,10,14,65,11,75,IRT,493.0584,90
2012/2013,044,R,4,8,11,66,15,81,IRT,505.3337,92
2013/2014,044,R,4,9,14,62,16,78,IRT,503.5438,91
2014/2015,044,R,4,6,11,67,15,82,IRT,509.812,94
2007/2008,045,R,4,5,7,64,23,88,IRT,539.6958,95
2008/2009,045,R,4,6,5,64,24,89,IRT,543.9794,94
2009/2010,045,R,4,8,5,62,25,87,IRT,544.6749,92
2010/2011,045,R,4,8,6,57,29,86,IRT,555.4032,92
2011/2012,045,R,4,9,3,66,22,88,IRT,543.5108,91
2012/2013,045,R,4,9,4,64,23,87,IRT,543.305,91
2013/2014,045,R,4,13,2,59,25,84,IRT,556.5442,87
2014/2015,045,R,4,14,3,55,29,84,IRT,564.0508,86
2007/2008,046,R,4,6,20,62,13,74,IRT,480.6898,94
2008/2009,046,R,4,7,21,58,14,72,IRT,498.8866,93
2009/2010,046,R,4,20,22,50,8,58,IRT,470.1676,80
2010/2011,046,R,4,10,11,62,17,79,IRT,505.663,90
2011/2012,046,R,4,8,15,68,9,77,IRT,489.2653,92
2012/2013,046,R,4,13,19,54,15,69,IRT,493.2012,87
2013/2014,046,R,4,19,12,59,10,69,IRT,503.1205,81
2014/2015,046,R,4,14,13,57,16,73,IRT,514.3403,86
2007/2008,047,R,4,12,11,67,10,77,IRT,488.6204,88
2008/2009,047,R,4,13,15,63,9,72,IRT,484.7333,87
2009/2010,047,R,4,15,19,55,11,66,IRT,494.875,85
2010/2011,047,R,4,12,15,62,12,74,IRT,483.5794,88
2011/2012,047,R,4,9,18,65,7,72,IRT,473.2963,91
2012/2013,047,R,4,20,13,56,11,67,IRT,505.887,80
2013/2014,047,R,4,16,27,48,9,57,IRT,468.4579,84
2014/2015,047,R,4,24,16,53,7,60,IRT,476.8387,76
2007/2008,048,R,4,7,15,64,14,78,IRT,491.2635,93
2008/2009,048,R,4,9,16,62,14,76,IRT,497.4838,91
2009/2010,048,R,4,8,14,63,15,78,IRT,495.548,92
2010/2011,048,R,4,5,17,64,14,78,IRT,494.6,95
2011/2012,048,R,4,6,16,67,11,78,IRT,483.2734,94
2012/2013,048,R,4,3,20,66,10,77,IRT,486.5455,97
2013/2014,048,R,4,5,19,60,16,76,IRT,494.7587,95
2014/2015,048,R,4,5,18,69,7,76,IRT,476.5516,95
2007/2008,050,R,4,12,13,69,6,75,IRT,476.913,88
2008/2009,050,R,4,11,29,53,8,61,IRT,416.2647,89
2009/2010,050,R,4,6,19,60,15,74,IRT,498.2045,94
2010/2011,050,R,4,8,17,56,19,75,IRT,489,92
2011/2012,050,R,4,0,30,67,2,70,IRT,445.8837,100
2012/2013,050,R,4,8,15,63,13,77,IRT,498.9167,92
2013/2014,050,R,4,0,21,76,3,79,IRT,476.3947,100
2014/2015,050,R,4,10,34,51,5,56,IRT,430.5405,90
2007/2008,051,R,4,4,25,57,14,71,IRT,482.3564,96
2008/2009,051,R,4,7,20,64,8,72,IRT,473.7033,93
2009/2010,051,R,4,28,15,48,10,57,IRT,479.5921,72
2010/2011,051,R,4,19,10,66,5,71,IRT,497.9451,81
2011/2012,051,R,4,11,16,62,10,72,IRT,489.1183,89
2012/2013,051,R,4,19,15,55,11,66,IRT,483.0964,81
2013/2014,051,R,4,29,11,50,10,60,IRT,487.9886,71
2014/2015,051,R,4,19,14,66,1,67,IRT,478.3947,81
2007/2008,052,R,4,10,31,56,4,60,IRT,440.2875,90
2008/2009,052,R,4,4,38,52,6,58,IRT,444.7431,96
2009/2010,052,R,4,8,42,49,1,51,IRT,419.7676,92
2010/2011,052,R,4,3,48,44,5,49,IRT,420.8571,97
2011/2012,052,R,4,7,27,64,2,66,IRT,441.2194,93
2012/2013,052,R,4,5,24,66,5,71,IRT,461.053,95
2013/2014,052,R,4,7,32,57,4,61,IRT,436.1488,93
2014/2015,052,R,4,6,38,51,5,56,IRT,435.5,94
2007/2008,053,R,4,5,21,66,7,74,IRT,479.1429,95
2008/2009,053,R,4,11,13,70,7,76,IRT,486.3711,89
2009/2010,053,R,4,3,18,71,9,80,IRT,484.2957,97
2010/2011,053,R,4,4,10,68,17,85,IRT,511.9338,96
2011/2012,053,R,4,6,12,71,12,82,IRT,504.3951,94
2012/2013,053,R,4,10,11,66,14,80,IRT,508.2828,90
2013/2014,053,R,4,3,12,71,14,85,IRT,500.1637,97
2014/2015,053,R,4,11,14,61,14,75,IRT,505.0752,89
2007/2008,054,R,4,10,20,63,8,70,IRT,474.1462,90
2008/2009,054,R,4,12,28,53,7,60,IRT,454.7677,88
2009/2010,054,R,4,6,17,65,11,76,IRT,488.5896,94
2010/2011,054,R,4,12,13,65,10,75,IRT,494.5111,88
2011/2012,054,R,4,6,12,65,17,82,IRT,510.9924,94
2012/2013,054,R,4,10,19,60,12,71,IRT,490.9796,90
2013/2014,054,R,4,10,18,64,8,72,IRT,470.5565,90
2014/2015,054,R,4,9,15,64,12,76,IRT,498.2632,91
2007/2008,057,R,4,6,22,62,9,71,IRT,470.861,94
2008/2009,057,R,4,8,22,61,9,70,IRT,473.0319,92
2009/2010,057,R,4,9,27,58,6,64,IRT,459.9036,91
2010/2011,057,R,4,12,24,58,6,64,IRT,457.9507,88
2011/2012,057,R,4,7,25,61,7,68,IRT,462.7353,93
2012/2013,057,R,4,5,20,66,9,75,IRT,478.7949,95
2013/2014,057,R,4,7,24,61,7,68,IRT,463.0921,93
2014/2015,057,R,4,8,26,57,9,67,IRT,445.3197,92
2007/2008,058,R,4,5,32,57,5,63,IRT,454.7215,95
2008/2009,058,R,4,6,19,68,7,75,IRT,472.875,94
2009/2010,058,R,4,12,24,58,6,64,IRT,456.4409,88
2010/2011,058,R,4,12,21,61,6,67,IRT,466.5957,88
2011/2012,058,R,4,13,22,61,5,66,IRT,455.9474,88
2012/2013,058,R,4,4,24,65,8,72,IRT,467.2541,96
2013/2014,058,R,4,13,24,56,7,62,IRT,459.2051,87
2014/2015,058,R,4,14,26,54,6,60,IRT,458.9851,86
2007/2008,059,R,4,11,29,54,6,60,IRT,449.2068,89
2008/2009,059,R,4,9,25,61,5,66,IRT,451.4509,91
2009/2010,059,R,4,4,29,61,5,67,IRT,447.8988,96
2010/2011,059,R,4,4,30,58,8,66,IRT,456.9427,96
