SCHOOL_YEAR,DISTRICT_NUMBER,DISTRICT_NAME,FSA_SKILL_CODE,GRADE,NUMBER_UNKNOWN,NUMBER_BELOW,NUMBER_MEETING,NUMBER_EXCEEDING,,SCORE
2007/2008,Prov,,Numeracy,04,9,21,59,11,1,486.87686
2008/2009,Prov,,Numeracy,04,16,18,56,10,1,491.13171
2009/2010,Prov,,Numeracy,04,17,20,54,9,1,486.837
2010/2011,Prov,,Numeracy,04,15,18,56,11,1,494.20394
2011/2012,Prov,,Numeracy,04,15,17,57,11,1,496.38955
2012/2013,Prov,,Numeracy,04,14,18,57,11,1,493.22169
2013/2014,Prov,,Numeracy,04,15,18,57,11,1,493.878
2014/2015,Prov,,Numeracy,04,18,18,54,10,1,491.49968
2015/2016,Prov,,Numeracy,04,20,16,53,11,1,498.27546
2007/2008,005,Southeast Kootenay,Numeracy,04,14,27,56,3,1,457.59829
2008/2009,005,Southeast Kootenay,Numeracy,04,13,18,63,5,1,478.47826
2009/2010,005,Southeast Kootenay,Numeracy,04,17,20,56,7,1,475.26132
2010/2011,005,Southeast Kootenay,Numeracy,04,19,15,60,7,1,492.06885
2011/2012,005,Southeast Kootenay,Numeracy,04,3,15,67,14,1,507.17465
2012/2013,005,Southeast Kootenay,Numeracy,04,12,22,60,5,1,464.8612
2013/2014,005,Southeast Kootenay,Numeracy,04,9,24,61,7,1,475.61709
2014/2015,005,Southeast Kootenay,Numeracy,04,21,19,57,3,1,465.56863
2015/2016,005,Southeast Kootenay,Numeracy,04,25,14,56,5,1,481.55882
2007/2008,006,Rocky Mountain,Numeracy,04,6,30,60,4,1,451.88889
2008/2009,006,Rocky Mountain,Numeracy,04,10,24,58,8,1,471.78365
2009/2010,006,Rocky Mountain,Numeracy,04,8,21,66,5,1,477.67143
2010/2011,006,Rocky Mountain,Numeracy,04,6,22,64,8,1,474.48485
2011/2012,006,Rocky Mountain,Numeracy,04,11,21,61,7,1,477.29
2012/2013,006,Rocky Mountain,Numeracy,04,4,21,65,9,1,492.39594
2013/2014,006,Rocky Mountain,Numeracy,04,4,22,69,5,1,473.92952
2014/2015,006,Rocky Mountain,Numeracy,04,2,24,70,3,1,466.35556
2015/2016,006,Rocky Mountain,Numeracy,04,5,16,73,6,1,487.6872
2007/2008,008,Kootenay Lake,Numeracy,04,16,19,56,9,1,485.06463
2008/2009,008,Kootenay Lake,Numeracy,04,28,16,47,9,1,482.85714
2009/2010,008,Kootenay Lake,Numeracy,04,21,18,51,10,1,492.49291
2010/2011,008,Kootenay Lake,Numeracy,04,24,16,50,11,1,492.05738
2011/2012,008,Kootenay Lake,Numeracy,04,35,15,45,5,1,477.0283
2012/2013,008,Kootenay Lake,Numeracy,04,20,22,49,10,1,475.16788
2013/2014,008,Kootenay Lake,Numeracy,04,22,17,53,9,1,488.40141
2014/2015,008,Kootenay Lake,Numeracy,04,24,23,48,6,1,466.71121
2015/2016,008,Kootenay Lake,Numeracy,04,23,24,47,6,1,464.41923
2007/2008,010,Arrow Lakes,Numeracy,04,11,19,66,4,1,453.95238
2008/2009,010,Arrow Lakes,Numeracy,04,6,14,69,10,1,495.02174
2009/2010,010,Arrow Lakes,Numeracy,04,5,24,70,0,1,463.94286
2010/2011,010,Arrow Lakes,Numeracy,04,8,24,59,8,1,485.70588
2011/2012,010,Arrow Lakes,Numeracy,04,40,26,31,3,1,457.7619
2012/2013,010,Arrow Lakes,Numeracy,04,8,14,69,8,1,504.60606
2013/2014,010,Arrow Lakes,Numeracy,04,23,23,49,5,1,460.06667
2014/2015,010,Arrow Lakes,Numeracy,04,17,10,48,24,1,555.125
2015/2016,010,Arrow Lakes,Numeracy,04,19,6,38,38,1,598.26923
2007/2008,019,Revelstoke,Numeracy,04,5,9,72,15,1,514.69231
2008/2009,019,Revelstoke,Numeracy,04,10,10,67,14,1,513.23077
2009/2010,019,Revelstoke,Numeracy,04,14,5,64,16,1,531.61905
2010/2011,019,Revelstoke,Numeracy,04,7,16,64,12,1,510.16
2011/2012,019,Revelstoke,Numeracy,04,3,16,72,9,1,501.77419
2012/2013,019,Revelstoke,Numeracy,04,8,14,63,14,1,496.78462
2013/2014,019,Revelstoke,Numeracy,04,14,17,59,10,1,492.74
2014/2015,019,Revelstoke,Numeracy,04,25,13,58,4,1,485.64912
2015/2016,019,Revelstoke,Numeracy,04,49,5,45,1,1,491.4186
2007/2008,020,Kootenay-Columbia,Numeracy,04,6,26,64,4,1,464.25564
2008/2009,020,Kootenay-Columbia,Numeracy,04,13,20,63,4,1,471.57083
2009/2010,020,Kootenay-Columbia,Numeracy,04,17,23,56,3,1,464.71818
2010/2011,020,Kootenay-Columbia,Numeracy,04,16,14,66,3,1,482.75417
2011/2012,020,Kootenay-Columbia,Numeracy,04,20,18,57,6,1,481.96257
2012/2013,020,Kootenay-Columbia,Numeracy,04,21,19,55,6,1,477.0237
2013/2014,020,Kootenay-Columbia,Numeracy,04,26,17,54,2,1,470.52809
2014/2015,020,Kootenay-Columbia,Numeracy,04,37,14,47,2,1,482.92982
2015/2016,020,Kootenay-Columbia,Numeracy,04,48,14,35,3,1,474.73649
2007/2008,022,Vernon,Numeracy,04,6,27,62,5,1,457.72391
2008/2009,022,Vernon,Numeracy,04,20,19,55,6,1,475.07172
2009/2010,022,Vernon,Numeracy,04,10,29,57,4,1,454.13992
2010/2011,022,Vernon,Numeracy,04,13,28,53,6,1,459.82592
2011/2012,022,Vernon,Numeracy,04,11,22,61,6,1,470.56151
2012/2013,022,Vernon,Numeracy,04,12,21,61,5,1,470.89635
2013/2014,022,Vernon,Numeracy,04,10,23,62,4,1,467.00962
2014/2015,022,Vernon,Numeracy,04,11,25,60,4,1,461.74206
2015/2016,022,Vernon,Numeracy,04,12,28,55,5,1,460.77457
2007/2008,023,Central Okanagan,Numeracy,04,4,15,71,10,1,496.63448
2008/2009,023,Central Okanagan,Numeracy,04,6,15,69,10,1,498.38304
2009/2010,023,Central Okanagan,Numeracy,04,12,16,63,9,1,491.95034
2010/2011,023,Central Okanagan,Numeracy,04,10,16,65,10,1,494.16959
2011/2012,023,Central Okanagan,Numeracy,04,15,14,64,7,1,487.91827
2012/2013,023,Central Okanagan,Numeracy,04,14,18,60,8,1,482.45706
2013/2014,023,Central Okanagan,Numeracy,04,12,20,62,7,1,481.53042
2014/2015,023,Central Okanagan,Numeracy,04,22,16,57,5,1,481.87574
2015/2016,023,Central Okanagan,Numeracy,04,27,15,53,5,1,480.8375
2007/2008,027,Cariboo-Chilcotin,Numeracy,04,6,39,50,5,1,440.21907
2008/2009,027,Cariboo-Chilcotin,Numeracy,04,13,33,51,3,1,442.70085
2009/2010,027,Cariboo-Chilcotin,Numeracy,04,8,32,57,3,1,451.66282
2010/2011,027,Cariboo-Chilcotin,Numeracy,04,9,25,60,6,1,470.77246
2011/2012,027,Cariboo-Chilcotin,Numeracy,04,8,31,57,4,1,451.07962
2012/2013,027,Cariboo-Chilcotin,Numeracy,04,6,27,62,6,1,468.64553
2013/2014,027,Cariboo-Chilcotin,Numeracy,04,9,32,55,4,1,444.71472
2014/2015,027,Cariboo-Chilcotin,Numeracy,04,7,32,58,3,1,448.82131
2015/2016,027,Cariboo-Chilcotin,Numeracy,04,6,32,60,2,1,438.79538
2007/2008,028,Quesnel,Numeracy,04,13,38,47,3,1,438.19247
2008/2009,028,Quesnel,Numeracy,04,23,29,45,4,1,440.10177
2009/2010,028,Quesnel,Numeracy,04,25,35,39,2,1,427.08784
2010/2011,028,Quesnel,Numeracy,04,28,45,26,1,1,395.49102
2011/2012,028,Quesnel,Numeracy,04,23,35,41,1,1,417.63699
2012/2013,028,Quesnel,Numeracy,04,35,31,33,2,1,419.51493
2013/2014,028,Quesnel,Numeracy,04,33,32,32,2,1,414.48026
2014/2015,028,Quesnel,Numeracy,04,26,44,30,0,1,388.09032
2015/2016,028,Quesnel,Numeracy,04,33,35,30,2,1,408.74194
2007/2008,033,Chilliwack,Numeracy,04,7,21,62,10,1,487.8094
2008/2009,033,Chilliwack,Numeracy,04,23,16,54,7,1,483.6836
2009/2010,033,Chilliwack,Numeracy,04,16,19,58,8,1,491.0565
2010/2011,033,Chilliwack,Numeracy,04,11,16,59,14,1,504.85411
2011/2012,033,Chilliwack,Numeracy,04,7,19,65,9,1,488.98458
2012/2013,033,Chilliwack,Numeracy,04,7,21,64,8,1,483.2554
2013/2014,033,Chilliwack,Numeracy,04,7,21,62,10,1,490.42939
2014/2015,033,Chilliwack,Numeracy,04,14,16,59,10,1,498.42542
2015/2016,033,Chilliwack,Numeracy,04,11,16,60,12,1,502.84457
2007/2008,034,Abbotsford,Numeracy,04,4,16,62,17,1,512.33309
2008/2009,034,Abbotsford,Numeracy,04,7,17,63,13,1,501.56476
2009/2010,034,Abbotsford,Numeracy,04,8,15,63,14,1,510.49482
2010/2011,034,Abbotsford,Numeracy,04,5,15,66,15,1,509.82572
2011/2012,034,Abbotsford,Numeracy,04,5,17,67,10,1,496.99696
2012/2013,034,Abbotsford,Numeracy,04,6,14,63,18,1,517.03201
2013/2014,034,Abbotsford,Numeracy,04,6,16,67,11,1,502.22546
2014/2015,034,Abbotsford,Numeracy,04,7,16,69,8,1,495.62742
2015/2016,034,Abbotsford,Numeracy,04,5,15,69,10,1,499.31286
2007/2008,035,Langley,Numeracy,04,2,22,64,12,1,485.51732
2008/2009,035,Langley,Numeracy,04,10,16,63,11,1,499.34265
2009/2010,035,Langley,Numeracy,04,13,20,57,10,1,489.83851
2010/2011,035,Langley,Numeracy,04,9,16,64,11,1,502.12927
2011/2012,035,Langley,Numeracy,04,8,15,69,8,1,496.6976
2012/2013,035,Langley,Numeracy,04,9,16,65,11,1,495.16253
2013/2014,035,Langley,Numeracy,04,11,16,62,11,1,501.72405
2014/2015,035,Langley,Numeracy,04,13,18,60,10,1,490.33333
2015/2016,035,Langley,Numeracy,04,16,16,58,9,1,493.33061
2007/2008,036,Surrey,Numeracy,04,8,28,58,6,1,463.39376
2008/2009,036,Surrey,Numeracy,04,12,28,55,5,1,458.46042
2009/2010,036,Surrey,Numeracy,04,12,29,53,5,1,457.54924
2010/2011,036,Surrey,Numeracy,04,10,28,56,6,1,462.11041
2011/2012,036,Surrey,Numeracy,04,11,24,59,6,1,470.3484
2012/2013,036,Surrey,Numeracy,04,11,23,59,6,1,471.9886
2013/2014,036,Surrey,Numeracy,04,13,24,57,6,1,471.98436
2014/2015,036,Surrey,Numeracy,04,16,25,55,5,1,465.05643
2015/2016,036,Surrey,Numeracy,04,24,20,50,6,1,475.1061
2007/2008,037,Delta,Numeracy,04,10,19,61,10,1,489.61728
2008/2009,037,Delta,Numeracy,04,19,16,57,8,1,487.62367
2009/2010,037,Delta,Numeracy,04,22,18,55,5,1,472.96081
2010/2011,037,Delta,Numeracy,04,24,18,51,7,1,481.73146
2011/2012,037,Delta,Numeracy,04,14,17,63,6,1,482.16525
2012/2013,037,Delta,Numeracy,04,14,17,61,8,1,488.3537
2013/2014,037,Delta,Numeracy,04,17,16,60,6,1,483.38667
2014/2015,037,Delta,Numeracy,04,25,15,54,6,1,485.54604
2015/2016,037,Delta,Numeracy,04,31,15,50,4,1,474.86658
2007/2008,038,Richmond,Numeracy,04,12,12,59,18,1,522.27823
2008/2009,038,Richmond,Numeracy,04,13,10,62,16,1,523.91225
2009/2010,038,Richmond,Numeracy,04,17,11,58,13,1,518.25868
2010/2011,038,Richmond,Numeracy,04,17,12,54,17,1,526.69562
2011/2012,038,Richmond,Numeracy,04,17,10,59,14,1,524.0363
2012/2013,038,Richmond,Numeracy,04,16,10,58,16,1,525.89957
2013/2014,038,Richmond,Numeracy,04,17,10,57,17,1,528.62923
2014/2015,038,Richmond,Numeracy,04,26,9,53,12,1,523.09225
2015/2016,038,Richmond,Numeracy,04,22,8,56,15,1,530.35273
2007/2008,039,Vancouver,Numeracy,04,20,19,51,10,1,486.49513
2008/2009,039,Vancouver,Numeracy,04,31,13,47,9,1,497.45516
2009/2010,039,Vancouver,Numeracy,04,37,14,43,6,1,484.17947
2010/2011,039,Vancouver,Numeracy,04,33,13,46,8,1,493.9645
2011/2012,039,Vancouver,Numeracy,04,35,11,45,9,1,505.57057
2012/2013,039,Vancouver,Numeracy,04,31,12,48,8,1,498.70099
2013/2014,039,Vancouver,Numeracy,04,31,10,49,10,1,507.15935
2014/2015,039,Vancouver,Numeracy,04,35,10,48,8,1,504.41674
2015/2016,039,Vancouver,Numeracy,04,35,9,47,10,1,513.89742
2007/2008,040,New Westminster,Numeracy,04,11,18,60,11,1,490.93103
2008/2009,040,New Westminster,Numeracy,04,14,21,54,11,1,483.96875
2009/2010,040,New Westminster,Numeracy,04,16,17,54,12,1,498.98015
2010/2011,040,New Westminster,Numeracy,04,17,15,58,10,1,497.07107
2011/2012,040,New Westminster,Numeracy,04,13,21,56,10,1,487.37076
2012/2013,040,New Westminster,Numeracy,04,16,16,56,12,1,499.09975
2013/2014,040,New Westminster,Numeracy,04,17,23,50,10,1,476.00259
2014/2015,040,New Westminster,Numeracy,04,17,13,60,10,1,506.21554
2015/2016,040,New Westminster,Numeracy,04,21,15,54,9,1,495.79795
2007/2008,041,Burnaby,Numeracy,04,18,16,52,14,1,505.70824
2008/2009,041,Burnaby,Numeracy,04,20,14,52,14,1,507.72159
2009/2010,041,Burnaby,Numeracy,04,18,16,57,9,1,496.66016
2010/2011,041,Burnaby,Numeracy,04,19,13,54,14,1,513.99778
2011/2012,041,Burnaby,Numeracy,04,16,13,57,13,1,514.51585
2012/2013,041,Burnaby,Numeracy,04,17,15,56,13,1,509.02466
2013/2014,041,Burnaby,Numeracy,04,19,10,57,14,1,519.16602
2014/2015,041,Burnaby,Numeracy,04,21,12,57,10,1,506.9743
2015/2016,041,Burnaby,Numeracy,04,22,9,55,14,1,523.91158
2007/2008,042,Maple Ridge-Pitt Meadows,Numeracy,04,5,28,59,7,1,463.95782
2008/2009,042,Maple Ridge-Pitt Meadows,Numeracy,04,38,17,42,3,1,465.3366
2009/2010,042,Maple Ridge-Pitt Meadows,Numeracy,04,15,27,53,5,1,457.82298
2010/2011,042,Maple Ridge-Pitt Meadows,Numeracy,04,24,24,49,3,1,448.49041
2011/2012,042,Maple Ridge-Pitt Meadows,Numeracy,04,21,18,56,5,1,477.54795
2012/2013,042,Maple Ridge-Pitt Meadows,Numeracy,04,37,15,43,5,1,473.97008
2013/2014,042,Maple Ridge-Pitt Meadows,Numeracy,04,33,19,45,2,1,458.99409
2014/2015,042,Maple Ridge-Pitt Meadows,Numeracy,04,58,12,29,1,1,459.83292
2015/2016,042,Maple Ridge-Pitt Meadows,Numeracy,04,63,10,25,2,1,456.48082
2007/2008,043,Coquitlam,Numeracy,04,9,18,61,12,1,496.88924
2008/2009,043,Coquitlam,Numeracy,04,26,13,50,10,1,501.68421
2009/2010,043,Coquitlam,Numeracy,04,21,17,53,9,1,489.61622
2010/2011,043,Coquitlam,Numeracy,04,16,16,58,10,1,493.68079
2011/2012,043,Coquitlam,Numeracy,04,18,15,57,10,1,497.08975
2012/2013,043,Coquitlam,Numeracy,04,14,18,57,10,1,491.40158
2013/2014,043,Coquitlam,Numeracy,04,15,16,60,9,1,491.24388
2014/2015,043,Coquitlam,Numeracy,04,19,17,57,7,1,484.92383
2015/2016,043,Coquitlam,Numeracy,04,19,16,57,8,1,486.11732
2007/2008,044,North Vancouver,Numeracy,04,15,18,55,12,1,495.41296
2008/2009,044,North Vancouver,Numeracy,04,15,15,61,10,1,495.32975
2009/2010,044,North Vancouver,Numeracy,04,17,18,58,8,1,488.08802
2010/2011,044,North Vancouver,Numeracy,04,13,16,62,9,1,489.34454
2011/2012,044,North Vancouver,Numeracy,04,11,16,65,8,1,491.99492
2012/2013,044,North Vancouver,Numeracy,04,7,15,69,9,1,497.32878
2013/2014,044,North Vancouver,Numeracy,04,10,14,64,13,1,509.35346
2014/2015,044,North Vancouver,Numeracy,04,8,17,67,8,1,491.87228
2015/2016,044,North Vancouver,Numeracy,04,7,15,67,11,1,503.24888
2007/2008,045,West Vancouver,Numeracy,04,5,8,65,21,1,539.94799
2008/2009,045,West Vancouver,Numeracy,04,7,4,66,23,1,551.90674
2009/2010,045,West Vancouver,Numeracy,04,8,5,66,21,1,548.28079
2010/2011,045,West Vancouver,Numeracy,04,7,3,62,27,1,560.44789
2011/2012,045,West Vancouver,Numeracy,04,9,5,65,22,1,556.16746
2012/2013,045,West Vancouver,Numeracy,04,8,5,65,23,1,550.92043
2013/2014,045,West Vancouver,Numeracy,04,12,4,55,29,1,569.70657
2014/2015,045,West Vancouver,Numeracy,04,13,2,57,28,1,578.12289
2015/2016,045,West Vancouver,Numeracy,04,10,3,50,37,1,591.82775
2007/2008,046,Sunshine Coast,Numeracy,04,6,20,69,5,1,477.08333
2008/2009,046,Sunshine Coast,Numeracy,04,9,18,62,11,1,497.01571
2009/2010,046,Sunshine Coast,Numeracy,04,20,26,48,6,1,461.55
2010/2011,046,Sunshine Coast,Numeracy,04,11,10,66,13,1,523.14208
2011/2012,046,Sunshine Coast,Numeracy,04,9,14,67,11,1,503.98462
2012/2013,046,Sunshine Coast,Numeracy,04,14,16,62,7,1,495.95783
2013/2014,046,Sunshine Coast,Numeracy,04,20,14,57,9,1,496.13333
2014/2015,046,Sunshine Coast,Numeracy,04,12,11,62,15,1,510.33846
2015/2016,046,Sunshine Coast,Numeracy,04,15,20,58,6,1,483.62857
2007/2008,047,Powell River,Numeracy,04,12,27,57,5,1,450.35766
2008/2009,047,Powell River,Numeracy,04,13,25,54,8,1,473.9
2009/2010,047,Powell River,Numeracy,04,15,20,53,11,1,495.33071
2010/2011,047,Powell River,Numeracy,04,12,26,53,9,1,481.1215
2011/2012,047,Powell River,Numeracy,04,9,28,58,5,1,466.12593
2012/2013,047,Powell River,Numeracy,04,21,17,58,3,1,478.33333
2013/2014,047,Powell River,Numeracy,04,16,38,45,1,1,433
2014/2015,047,Powell River,Numeracy,04,24,25,48,3,1,452.58065
2015/2016,047,Powell River,Numeracy,04,24,24,49,4,1,455.4359
2007/2008,048,Sea to Sky,Numeracy,04,6,27,59,8,1,473.3
2008/2009,048,Sea to Sky,Numeracy,04,8,23,60,9,1,483.76703
2009/2010,048,Sea to Sky,Numeracy,04,10,23,58,8,1,479.06159
2010/2011,048,Sea to Sky,Numeracy,04,5,15,70,10,1,492.79137
2011/2012,048,Sea to Sky,Numeracy,04,7,15,65,13,1,504.42708
2012/2013,048,Sea to Sky,Numeracy,04,5,22,66,7,1,477.87589
2013/2014,048,Sea to Sky,Numeracy,04,5,18,71,5,1,479.54286
2014/2015,048,Sea to Sky,Numeracy,04,5,23,67,5,1,476.47436
2015/2016,048,Sea to Sky,Numeracy,04,6,20,65,9,1,485.76857
2007/2008,049,Central Coast,Numeracy,04,8,83,8,0,1,356.81818
2008/2009,049,Central Coast,Numeracy,04,18,18,65,0,1,475.85714
2009/2010,049,Central Coast,Numeracy,04,13,27,60,0,1,461.46154
2010/2011,049,Central Coast,Numeracy,04,6,12,76,6,1,498.125
2011/2012,049,Central Coast,Numeracy,04,0,0,0,0,MSK,Msk
2012/2013,049,Central Coast,Numeracy,04,42,32,26,0,1,417.45455
2013/2014,049,Central Coast,Numeracy,04,0,72,24,4,1,386.36
2014/2015,049,Central Coast,Numeracy,04,33,38,29,0,1,414.5
2015/2016,049,Central Coast,Numeracy,04,40,20,40,0,1,438.16667
2007/2008,050,Haida Gwaii,Numeracy,04,15,23,50,12,1,465.36364
2008/2009,050,Haida Gwaii,Numeracy,04,11,47,39,3,1,401.05882
2009/2010,050,Haida Gwaii,Numeracy,04,6,28,57,9,1,482.63636
2010/2011,050,Haida Gwaii,Numeracy,04,11,19,50,19,1,488.28125
2011/2012,050,Haida Gwaii,Numeracy,04,0,35,60,5,1,460.7907
2012/2013,050,Haida Gwaii,Numeracy,04,12,27,56,6,1,469.1087
2013/2014,050,Haida Gwaii,Numeracy,04,0,42,58,0,1,421.76316
2014/2015,050,Haida Gwaii,Numeracy,04,12,41,46,0,1,423.38889
2015/2016,050,Haida Gwaii,Numeracy,04,9,25,66,0,1,432
2007/2008,051,Boundary,Numeracy,04,3,32,54,10,1,468.52941
2008/2009,051,Boundary,Numeracy,04,8,17,71,3,1,483.4
2009/2010,051,Boundary,Numeracy,04,28,11,60,1,1,476.35526
2010/2011,051,Boundary,Numeracy,04,20,8,64,8,1,507.1
2011/2012,051,Boundary,Numeracy,04,12,20,59,9,1,496.82609
2012/2013,051,Boundary,Numeracy,04,18,15,57,10,1,493.19048
2013/2014,051,Boundary,Numeracy,04,30,15,48,7,1,489.41379
2014/2015,051,Boundary,Numeracy,04,24,21,53,1,1,457.71831
2015/2016,051,Boundary,Numeracy,04,15,20,60,5,1,480.90698
2007/2008,052,Prince Rupert,Numeracy,04,9,44,45,2,1,422.38509
2008/2009,052,Prince Rupert,Numeracy,04,4,45,48,3,1,429.22917
2009/2010,052,Prince Rupert,Numeracy,04,8,51,40,1,1,409.73759
2010/2011,052,Prince Rupert,Numeracy,04,3,51,44,3,1,413.95918
2011/2012,052,Prince Rupert,Numeracy,04,6,37,54,3,1,436.05769
2012/2013,052,Prince Rupert,Numeracy,04,5,48,45,2,1,420.2649
2013/2014,052,Prince Rupert,Numeracy,04,6,47,46,1,1,417.90164
2014/2015,052,Prince Rupert,Numeracy,04,6,46,46,2,1,415.54237
2015/2016,052,Prince Rupert,Numeracy,04,7,43,49,1,1,425.92143
2007/2008,053,Okanagan Similkameen,Numeracy,04,5,23,66,6,1,466.65517
2008/2009,053,Okanagan Similkameen,Numeracy,04,11,15,64,10,1,496.87975
2009/2010,053,Okanagan Similkameen,Numeracy,04,3,18,73,7,1,484.66667
2010/2011,053,Okanagan Similkameen,Numeracy,04,6,7,73,14,1,527.31081
2011/2012,053,Okanagan Similkameen,Numeracy,04,8,12,69,11,1,500.88679
2012/2013,053,Okanagan Similkameen,Numeracy,04,11,10,61,17,1,538.91608
2013/2014,053,Okanagan Similkameen,Numeracy,04,3,16,72,8,1,503.7076
2014/2015,053,Okanagan Similkameen,Numeracy,04,13,15,63,9,1,501.9313
2015/2016,053,Okanagan Similkameen,Numeracy,04,8,23,63,5,1,470.73026
2007/2008,054,Bulkley Valley,Numeracy,04,10,19,62,10,1,487.25385
2008/2009,054,Bulkley Valley,Numeracy,04,12,26,55,7,1,472.83333
2009/2010,054,Bulkley Valley,Numeracy,04,7,20,66,7,1,475.75188
2010/2011,054,Bulkley Valley,Numeracy,04,12,18,64,6,1,496.31111
2011/2012,054,Bulkley Valley,Numeracy,04,6,17,63,14,1,504.96183
2012/2013,054,Bulkley Valley,Numeracy,04,9,15,63,13,1,510.41216
2013/2014,054,Bulkley Valley,Numeracy,04,9,17,67,7,1,482.7381
2014/2015,054,Bulkley Valley,Numeracy,04,8,20,66,6,1,483.26957
2015/2016,054,Bulkley Valley,Numeracy,04,6,26,62,5,1,471.22628
2007/2008,057,Prince George,Numeracy,04,7,32,57,4,1,450.21053
2008/2009,057,Prince George,Numeracy,04,8,33,54,5,1,454.30122
2009/2010,057,Prince George,Numeracy,04,10,33,53,5,1,453.15815
2010/2011,057,Prince George,Numeracy,04,12,33,51,3,1,441.11379
2011/2012,057,Prince George,Numeracy,04,8,31,57,4,1,455.36618
2012/2013,057,Prince George,Numeracy,04,6,34,56,4,1,449.48308
2013/2014,057,Prince George,Numeracy,04,8,36,54,3,1,440.32683
2014/2015,057,Prince George,Numeracy,04,7,42,48,3,1,432.91817
2015/2016,057,Prince George,Numeracy,04,9,32,57,2,1,442.85375
2007/2008,058,Nicola-Similkameen,Numeracy,04,5,41,49,5,1,435.87342
2008/2009,058,Nicola-Similkameen,Numeracy,04,7,33,54,6,1,455.99333
2009/2010,058,Nicola-Similkameen,Numeracy,04,10,32,53,4,1,437.67442
2010/2011,058,Nicola-Similkameen,Numeracy,04,12,23,55,11,1,479.47518
2011/2012,058,Nicola-Similkameen,Numeracy,04,13,27,57,4,1,463.50376
2012/2013,058,Nicola-Similkameen,Numeracy,04,2,32,61,4,1,455.17742
2013/2014,058,Nicola-Similkameen,Numeracy,04,10,35,50,5,1,454.05738
2014/2015,058,Nicola-Similkameen,Numeracy,04,10,30,51,8,1,464.00719
2015/2016,058,Nicola-Similkameen,Numeracy,04,12,28,55,5,1,464.07692
2007/2008,059,Peace River South,Numeracy,04,7,35,55,3,1,437.94982
2008/2009,059,Peace River South,Numeracy,04,9,29,60,2,1,445.89855
2009/2010,059,Peace River South,Numeracy,04,4,42,50,4,1,434.26459
2010/2011,059,Peace River South,Numeracy,04,4,34,57,5,1,449.76336
2011/2012,059,Peace River South,Numeracy,04,7,26,62,5,1,462.67803
2012/2013,059,Peace River South,Numeracy,04,4,35,56,6,1,450.25424
2013/2014,059,Peace River South,Numeracy,04,3,28,64,5,1,460.22957
2014/2015,059,Peace River South,Numeracy,04,6,32,58,3,1,449.8449
2015/2016,059,Peace River South,Numeracy,04,4,24,66,6,1,472.64135
2007/2008,060,Peace River North,Numeracy,04,9,18,61,12,1,495.1715
2008/2009,060,Peace River North,Numeracy,04,11,18,64,7,1,486.37892
2009/2010,060,Peace River North,Numeracy,04,16,18,60,7,1,484.54922
2010/2011,060,Peace River North,Numeracy,04,10,17,63,10,1,499.15443
2011/2012,060,Peace River North,Numeracy,04,9,22,63,5,1,471.77929
2012/2013,060,Peace River North,Numeracy,04,9,19,61,10,1,490.2304
2013/2014,060,Peace River North,Numeracy,04,9,22,61,8,1,485
2014/2015,060,Peace River North,Numeracy,04,6,20,66,8,1,482.38235
2015/2016,060,Peace River North,Numeracy,04,5,22,64,9,1,481.33716
2007/2008,061,Greater Victoria,Numeracy,04,6,20,63,11,1,492.00946
2008/2009,061,Greater Victoria,Numeracy,04,17,14,60,9,1,497.45819
2009/2010,061,Greater Victoria,Numeracy,04,20,19,53,8,1,485.68631
2010/2011,061,Greater Victoria,Numeracy,04,18,17,57,9,1,492.78507
2011/2012,061,Greater Victoria,Numeracy,04,17,16,60,8,1,489.21319
2012/2013,061,Greater Victoria,Numeracy,04,22,17,54,7,1,488.63327
2013/2014,061,Greater Victoria,Numeracy,04,23,15,56,7,1,494.1408
2014/2015,061,Greater Victoria,Numeracy,04,28,16,50,6,1,478.95455
2015/2016,061,Greater Victoria,Numeracy,04,33,14,47,6,1,489.31785
2007/2008,062,Sooke,Numeracy,04,8,20,64,7,1,481.67523
2008/2009,062,Sooke,Numeracy,04,12,27,57,4,1,454.84672
2009/2010,062,Sooke,Numeracy,04,27,21,47,6,1,469.88132
2010/2011,062,Sooke,Numeracy,04,31,18,49,3,1,464.75352
2011/2012,062,Sooke,Numeracy,04,47,13,36,4,1,471.93846
2012/2013,062,Sooke,Numeracy,04,38,17,42,3,1,471.14758
2013/2014,062,Sooke,Numeracy,04,35,20,42,3,1,459.86183
2014/2015,062,Sooke,Numeracy,04,49,13,36,2,1,470.00802
2015/2016,062,Sooke,Numeracy,04,57,10,27,6,1,490.13043
2007/2008,063,Saanich,Numeracy,04,3,13,66,18,1,522.19106
2008/2009,063,Saanich,Numeracy,04,7,15,67,10,1,505.44866
2009/2010,063,Saanich,Numeracy,04,16,15,58,12,1,499.22556
2010/2011,063,Saanich,Numeracy,04,22,10,58,10,1,516.97507
2011/2012,063,Saanich,Numeracy,04,10,12,69,9,1,501.8425
2012/2013,063,Saanich,Numeracy,04,8,18,66,8,1,491.0048
2013/2014,063,Saanich,Numeracy,04,9,19,64,8,1,490.07907
2014/2015,063,Saanich,Numeracy,04,16,15,62,7,1,494.06133
2015/2016,063,Saanich,Numeracy,04,22,15,54,9,1,493.17857
2007/2008,064,Gulf Islands,Numeracy,04,17,21,54,8,1,470.06122
2008/2009,064,Gulf Islands,Numeracy,04,9,27,58,7,1,459.96341
